"Category","Priority","Observation","Recommendation","LinkText","LinkUrl"
"Networking","High","SDDC 'CHA-POC-AVS' is conected to a non zone-redundant ER gateway.","Connect AVS SDDC to zone-redundant ER gateway for resiliency.","","https://learn.microsoft.com/azure/vpn-gateway/about-zone-redundant-vnet-gateways"
"Networking","Medium","SDDC 'CHA-POC-AVS' is conected to a non-FastPath enabled ER gateway.","Connect AVS SDDC to FastPath enabled ER gateway to improve data path performance.","","https://learn.microsoft.com/azure/expressroute/about-fastpath"
"Networking","Low","SDDC 'CHA-POC-AVS' has multiple redemptions of ER Auth Key.","Ensure multiple Auth Key redemptions do not cause IP address conflict.","","https://learn.microsoft.com/azure/azure-vmware/tutorial-configure-networking"
"Security","High","SDDC 'CHA-POC-AVS' has no alerts configured for critical metrics.","Ensure that alerts are configured for critical metrics on SDDC for security.","","https://azure.github.io/azure-monitor-baseline-alerts/patterns/specialized/avs/"
"Security","High","SDDC 'CHA-POC-AVS' is connected to an Azure VNet which has no DDoS protection plan.","Ensure that DDoS protection plan is enabled for the VNet connected with SDDC for security.","","https://learn.microsoft.com/azure/ddos-protection/ddos-protection-overview"
"Security","High","SDDC 'CHA-POC-AVS' has no alerts configured for critical metrics.","Ensure that alerts are configured for critical metrics on SDDC for security.","","https://azure.github.io/azure-monitor-baseline-alerts/patterns/specialized/avs/"
"Security","High","SDDC 'CHA-POC-AVS' has multiple Azure role assignments.","Ensure that access control is limited to under 3 for direct and inherited scope for SDDC for security.","","https://learn.microsoft.com/azure/role-based-access-control/best-practices"
"Security","High","SDDC 'CHA-POC-AVS' has no vSAN encryption.","Ensure that vSAN encryption is enabled on SDDC for security.","","https://learn.microsoft.com/azure/azure-vmware/configure-customer-managed-keys?tabs=azure-portal"
"Security","Medium","Azure subscription containing SDDC 'CHA-POC-AVS' has no PIM logs.","Ensure PIM logs are enabled on Azure subscription containing SDDC.","","https://learn.microsoft.com/entra/id-governance/privileged-identity-management/groups-audit"
"Security","High","SDDC 'CHA-POC-AVS' is connected to an Azure VNet which has no DDoS protection plan.","Ensure that DDoS protection plan is enabled for the VNet connected with SDDC for security.","","https://learn.microsoft.com/azure/ddos-protection/ddos-protection-overview"
"Security","Medium","Azure Arc is not provisioned for SDDC 'CHA-POC-AVS'.","Provision Azure Arc on SDDC for security patch and update management.","","https://learn.microsoft.com/azure/azure-vmware/deploy-arc-for-azure-vmware-solution?tabs=windows"
"Security","High","SDDC 'CHA-POC-AVS' has no Entra ID diagnostics.","Ensure Entra ID diagnostics are enabled for SDDC for long term storage requirements.","","https://learn.microsoft.com/entra/identity/monitoring-health/howto-configure-diagnostic-settings"
